No13_AGB_0,AGB
No13_AGB_0.001,AGB
No13_AGB_0.004,AGB
No13_AGB_0.008,AGB
No13_AGB_0.02,AGB
K10_AGB_0.02,AGB
K10_AGB_0.0001,AGB
K10_AGB_0.004,AGB
K10_AGB_0.008,AGB
Le25_A22S03_0,SNCC,OK
Ch04_0,SNCC
Ch04_1E-6,SNCC
Ch04_1E-4,SNCC
Ch04_1E-3,SNCC
Ch04_6E-3,SNCC
Ch04_2E-2,SNCC
No06_0,SNCC
No06_0.001,SNCC
No06_0.004,SNCC
No06_0.02,SNCC
No13_SNcc_0,SNCC
No13_SNcc_0.001,SNCC
No13_SNcc_0.004,SNCC
No13_SNcc_0.008,SNCC
No13_SNcc_0.02,SNCC
No13_SNcc_0.05,SNCC
No13_PISNe_0,SNCC
No13_SNe_0,SNCC
No13_HNe_0,SNCC,HY
No13_HNe_0.001,SNCC,HY
No13_HNe_0.004,SNCC,HY
No13_HNe_0.008,SNCC,HY
No13_HNe_0.02,SNCC,HY
No13_HNe_0.05,SNCC,HY
He0210_SNcc_0,SNCC
He0210_PISNe_0,SNCC
He0210_SNe_0,SNCC
Su16_N20,SNCC
Su16_W18,SNCC,
Ro10_0,SNCC,
Ro10_0.000002,SNCC,
Ro10_0.0002,SNCC,
Ro10_0.02,SNCC,
Ro10_0.002,SNCC,
Iw99_W7,SN1A,DEFLAGRATION,NMCH
Iw99_W7new,SN1A,DEFLAGRATION,NMCH
Iw99_W70,SN1A,DEFLAGRATION,NMCH
Iw99_WDD1,SN1A,DD,DETONATION,NMCH
Iw99_WDD2,SN1A,DD,DETONATION,NMCH
Iw99_WDD3,SN1A,DD,DETONATION,NMCH
Iw99_CDD1,SN1A,DD,DETONATION,NMCH
Iw99_CDD2,SN1A,DD,DETONATION,NMCH
Ba06_DDTa,SN1A,DD,DETONATION,NMCH
Ba06_DDTb,SN1A,DD,DETONATION,NMCH
Ba06_DDTc,SN1A,DD,DETONATION,NMCH
Ba06_DDTd,SN1A,DD,DETONATION,NMCH
Ba06_DDTe,SN1A,DD,DETONATION,NMCH
Ba06_DDTf,SN1A,DD,DETONATION,NMCH
Sh18_M08_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_3070_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z0_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z0005_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z001_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M08_5050_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M085_5050_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M09_5050_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M10_5050_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Sh18_M11_5050_Z002_1,SN1A,D6,D2,DETONATION,SMCH
Ma10_W7,SN1A,SMCH
Ma10_C-DEF,SN1A,SMCH
Ma10_C-DDT,SN1A,DD,DETONATION,SMCH
Ma10_O-DDT,SN1A,DD,DETONATION,SMCH
Se13_N1,SN1A,DD,DETONATION,NMCH
Se13_N3,SN1A,DD,DETONATION,NMCH
Se13_N5,SN1A,DD,DETONATION,NMCH
Se13_N10,SN1A,DD,DETONATION,NMCH
Se13_N20,SN1A,DD,DETONATION,NMCH
Se13_N40,SN1A,DD,DETONATION,NMCH
Se13_N100H,SN1A,DD,DETONATION,NMCH
Se13_N100,SN1A,DD,DETONATION,NMCH
Se13_N100L,SN1A,DD,DETONATION,NMCH
Se13_N150,SN1A,DD,DETONATION,NMCH
Se13_N200,SN1A,DD,DETONATION,NMCH
Se13_N300C,SN1A,DD,DETONATION,NMCH
Se13_N1600,SN1A,DD,DETONATION,NMCH
Se13_N1600C,SN1A,DD,DETONATION,NMCH
Se13_N100_Z0.5,SN1A,DD,DETONATION,NMCH
Se13_N100_Z0.1,SN1A,DD,DETONATION,NMCH
Se13_N100_Z0.01,SN1A,DD,DETONATION,NMCH
Fi14_N1def,SN1A,DEFLAGRATION,NMCH
Fi14_N3def,SN1A,DEFLAGRATION,NMCH
Fi14_N5def,SN1A,DEFLAGRATION,NMCH
Fi14_N10def,SN1A,DEFLAGRATION,NMCH
Fi14_N20def,SN1A,DEFLAGRATION,NMCH
Fi14_N40def,SN1A,DEFLAGRATION,NMCH
Fi14_N100Hdef,SN1A,DEFLAGRATION,NMCH
Fi14_N100def,SN1A,DEFLAGRATION,NMCH
Fi14_N100Ldef,SN1A,DEFLAGRATION,NMCH
Fi14_N150def,SN1A,DEFLAGRATION,NMCH
Fi14_N200def,SN1A,DEFLAGRATION,NMCH
Fi14_N300Cdef,SN1A,DEFLAGRATION,NMCH
Fi14_N1600def,SN1A,DEFLAGRATION,NMCH
Fi14_N1600Cdef,SN1A,DEFLAGRATION,NMCH
Wa11_CO.45HE.2,SN1A
Wa11_CO.55HE.2,SN1A
Wa11_CO.5HE.15,SN1A
Wa11_CO.5HE.2,SN1A
Wa11_CO.5HE.2C.3,SN1A
Wa11_CO.5HE.2N.02,SN1A
Wa11_CO.5HE.3,SN1A
Wa11_CO.6HE.2,SN1A
Pa10_09_09,SN1A,SMCH
Pa12_11_09,SN1A,SMCH
Le18_050-1-c3-1P,SN1A,DEFLAGRATION,NMCH
Le18_100-1-c3-1P,SN1A,DEFLAGRATION,NMCH
Le18_300-1-c3-1P,SN1A,DEFLAGRATION,NMCH
Le18_500-1-c3-1P,SN1A,DEFLAGRATION,NMCH
Le18_100-0.1-c3,SN1A,DD,DETONATION,NMCH
Le18_100-0.5-c3,SN1A,DD,DETONATION,NMCH
Le18_100-0-c3,SN1A,DD,DETONATION,NMCH
Le18_100-1-c3,SN1A,DD,DETONATION,NMCH
Le18_100-2-c3,SN1A,DD,DETONATION,NMCH
Le18_100-3-c3,SN1A,DD,DETONATION,NMCH
Le18_100-5-c3,SN1A,DD,DETONATION,NMCH
Le18_300-0.1-c3,SN1A,DD,DETONATION,NMCH
Le18_300-0.5-c3,SN1A,DD,DETONATION,NMCH
Le18_300-0-c3,SN1A,DD,DETONATION,NMCH
Le18_300-1-c3,SN1A,DD,DETONATION,NMCH
Le18_300-2-c3,SN1A,DD,DETONATION,NMCH
Le18_300-3-c3,SN1A,DD,DETONATION,NMCH
Le18_300-5-c3,SN1A,DD,DETONATION,NMCH
Le18_500-0.1-c3,SN1A,DD,DETONATION,NMCH
